kode,navn,definition,kommentar,virkningFra,virkningTil
"0","Navngiven vej","ændringer som følge ændring i navngivenvej","","2015-10-01",""
"1","Navngivenvej kommunedel","ændringer som følge ændring i navngivenvejkommunedel","","2015-10-01",""
"2","Adresse","ændringer som følge af ændring i adressen","","2015-10-01",""
"3","Husnummer","ændringer som følge af ændring i husnummeret","","2015-10-01",""
"4","Postnummer","ændring som følge af ændringer i postnummeret","","2015-10-01",""
"5","Supplerende bynavn","ændring som følge af ændringer i supplerende bynavn","","2015-10-01",""
"6","Husnummerreservation","ændring som følgeaf at Adressemyndigheden har reserveret husnummer","Udstilles ikke.","2015-10-01",""
"7","Vejnavn reservation","ændring som følgeaf at Adressemyndigheden har reserveret vejnavn","Udstilles ikke.","2015-10-01",""
"8","Adresseopgave","ændringer som følge af en adresseopgave","","2015-10-01",""
"9","Adresseopgavegenstand","ikke i brug","Udstilles ikke.","2015-10-01",""
"10","DAGI Kommune","ændringer som følge af ændring i DAGI kommune","","2015-10-01",""
"11","DAGI Sogneinddeling","ændringer som følge af ændring i DAGI sogneinddeling","","2015-10-01",""
"12","DAGI Postnummer","ændringer som følge af ændring i DAGI postnummer","","2015-10-01",""
"13","DAGI Afstemningsområde","ændringer som følge af ændring i DAGI afstemningsområde","","2015-10-01",""
"14","DAGI Meninghedsrådsafstemningsområde","ændringer som følge af ændring i DAGI meninghedsrådsafstemningsområde","Meninghedsrådsaftemningsområder udgår af DAGI med udgangen af Q2 2026. For husnumre bliver feltet sat til null, når objektversionen herefter opdateres. Nye husnumre har null i dette felt, ved første registrering.","2015-10-01",""
"15","DAGI Supplerende bynavn","ændringer som følge af ændring i DAGI supplerende bynavn","","2015-10-01",""
"16","BBR Bygning","ændringer som følge af ændring i BBR Bygning","","2015-10-01",""
"17","BBR Tekniskanlæg","ændringer som følge af ændring i BBR Tekniskanlæg","","2015-10-01",""
"18","MU Jordstykke","ændringer som følge af ændring i MU Jordstykke","","2015-10-01",""
"19","GeoDanmark bygning","ændringer som følge af ændring i Geo Danmarkbygning","","2015-10-01",""
"20","GeoDanmark vejmidte","ændringer som følge af ændring i Geo Danmarkvejmidte","","2015-10-01",""
"NavngivenVej","Navngiven vej","ændringer som følge af ændring i Navngiven vej","","2015-10-01",""
