kode,navn,definition,kommentar,virkningFra,virkningTil
"1","Intern forberedelse","objektet bruges i arbejdsskitse til internt brug i kommunen","Anvendes til at udarbejde en arbejdsskitse til internt brug i kommunen, som ikke skal udstilles. Kan bruges for entiteterne adresse, husnummer og navngivenvej. OBS udstilles ikke.","2015-10-01",""
"2","Foreløbig","objektet er foreløbigt og ikke udstillet","Anvendes for entiteter, inden de bliver gjort gældende. Udstilles til anvendere og kan anvendes af fx BBR til at danne relationen mellem bygning og husnummer. Kan bruges for entiteterne adresse, husnummer og navngivenvej.","2015-10-01",""
"3","Gældende","objektet er gældende","Kan bruges for entiteterne DAR_Adresse, DAR_Husnummer, DAR_navngivenVej, DAR_NavngivenVejKommunedel, DAR_NavngivenVejPostnummer, DAR_NavngivenvejSupplerendeBynavn og DAR_SupplerendeBynavn.","2015-10-01",""
"4","Nedlagt","objektet er nedlagt","Entiteter som tidligere har haft status gældende, får denne status når de nedlægges. Kan bruges for entiteterne DAR_Adresse, DAR_Husnummer, DAR_navngivenVej, DAR_NavngivenVejKommunedel, DAR_NavngivenVejPostnummer, DAR_NavngivenvejSupplerendeBynavn og DAR_SupplerendeBynavn.","2015-10-01",""
"5","Henlagt","objektet er henlagt","Anvendes kun til entiteter hvis foregående status har været ”foreløbig”. Kan bruges for entiteterne adresse, husnummer og navngivenvej.","2015-10-01",""
"6","Slettet","objektet er slettet","For entiteterne adresse, husnummer og navngivenvej: Anvendes kun til entiteter hvis foregående status har været ”intern forberedelse"". For entiteterne adgang- og vejpunkt: Anvendes hvis den foregående status har været ”Ikke i brug”, udstilles kun i fildownload.","2015-10-01",""
"7","Ikke i brug","objektet er ikke i brug","Anvendes når der ikke er tilknyttet adresser til adgangspunktet, og udstilles kun til særlige anvendelser. Kan bruges for entiteterne adgang- og vejpunkt.","2015-10-01",""
"8","I brug","objektet er i brug","Objektet er i brug. Kan bruges for entiteterne adgang- og vejpunkt.","2015-10-01",""
"9","Udgået","objektet er udgået","Anvendes hvis den foregående status har været ”I brug”, og hvor Husnummer har status ”henlagt” eller ”nedlagt”. Kan bruges for entiteterne adgang- og vejpunkt. Udstilles kun i fildownload.","2015-10-01",""
"10","Udløbet","objektet er udløbet","Anvendes til reserverede vejnavne, hvis reservation er bortfaldet, uden at vejnavnet er blevet taget i brug. Bruges kun ved reserverede vejnavne, der ikke udstilles direkte fra DAR.","2015-10-01",""
"11","Ophævet","objektet er ophævet","Anvendes til reserverede vejnavne, hvis reservation er bortfaldet, uden at vejnavnet er blevet taget i brug. Bruges kun ved reserverede vejnavne, der ikke udstilles direkte fra DAR.","2015-10-01",""
