kode,navn,definition,kommentar,virkningFra,virkningTil
"UF","Adgangspunkt uspecificeret eller foreløbigt placeret","den tekniske standard bruges ved adgangspunkter hvor placeringen er uspecificeret eller foreløbigt placeret, f.eks. ved nybyggeri inden der er tilknyttet bygning","","2015-10-01",""
"TN","Adgangspunkt inden for bygningsomrids","anvendes når adgangspunktet er placeret ca. 3 meter inden i bygningen inden for bygningens omrids","","2015-10-01",""
"TK","Adgangspunkt ved bygningsfacade mod vej","anvendes når adgangspunktet er placeret ca. 3 meter inden i bygningen langs facaden mod adgangsvejen","","2015-10-01",""
"TD","Adgangspunkt ved indgangsdør til bygning","anvendes når adgangspunktet er placeret ca. 3 meter inden i bygningen ved indgangsdøren","","2015-10-01",""
"TA","Adgangspunkt til anlæg – uden bygning","adresser, hvor adgangspunktet ikke er eller skal være tilknyttet en bygning - og husbåde samt indkørsler og ramper til parkeringsanlæg","","2015-10-01",""
"VU","Vejpunkt er uspecificeret eller ukendt","vejpunkt er uspecificeret eller ukendt","","2015-10-01",""
"VN","Vejpunkt i vejtilslutningspunkt","beregnet vejpunkt efter maj 2018","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V0","Vejpunkt på vej med korrekt vejkode. Stor sikkerhed for korrekt vejpunkt","beregnet vejpunkt efter maj 2018","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V1","Vejpunkt på vej med korrekt vejkode. Adgang til adgangspunkt via indkørselsvej eller sti","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V2","Vejpunkt på vej med korrekt vejkode. Risiko for at skulle krydse stier","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V3","Vejpunkt på vej med korrekt vejkode. Risiko for at skulle krydse andre veje","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V4","Vejpunkt på vej med korrekt vejkode. Risiko for at skulle krydse et enkelt teknisk anlæg eller trafikhegn","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V5","Vejpunkt på vej med korrekt vejkode. Risiko for at skulle krydse et større antal bygninger eller jordstykker. Risiko for at skulle krydse fysiske forhindringer","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V6","Vejpunkt på mindre indkørselsvej med korrekt vejkode. Risiko for at skulle krydse fysiske forhindringer","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V7","Vejpunkt på vej med forkert vejkode, men på samme matrikelnummer. Risiko for at skulle krydse fysiske forhindringer","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V8","Vejpunkt på sti med korrekt vejkode. Risiko for at skulle krydse fysiske forhindringer","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"V9","Vejpunkt på vej eller indkørselsvej med forkert kommunekode eller vejkode. Risiko for at skulle krydse fysiske forhindringer","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"VX","Vejpunkt på vej. Stor usikkerhed om korrekthed","beregnet vejpunkt før maj 2018 (i forbindelse med oprettelsen af DAR)","Gælder kun for entiteten vejpunkter.","2015-10-01",""
"DP","Dørpunkt placeret principielt korrekt","dørpunkt placeret principielt korrekt","Dørpunkter er ikke aktuelt i brug.","2015-10-01",""
"DE","Dørpunkt placeret ud fra etageplan","dørpunkt placeret ud fra etageplan","Dørpunkter er ikke aktuelt i brug.","2015-10-01",""
"DM","Dørpunkt målt på stedet","dørpunkt målt på stedet","Dørpunkter er ikke aktuelt i brug.","2015-10-01",""
"NO","Vejnavnebeliggenhed omskriver adresser, GeoDanmark vejmidter eller er konstrueret","vejnavnebeliggenhed omskriver adresser, GeoDanmark vejmidter eller er konstrueret ","Kan forekomme for historiske Navngivenvej.","2015-10-01",""
"N0","Vejnavnebeliggenhed omskriver adresser, GeoDanmark vejmidter eller er kontrueret","vejnavnebeliggenhed omskriver adresser, GeoDanmark vejmidter eller er kontrueret","Kan forekomme for historiske Navngivenvej.","2015-10-01",""
"NU","Vejnavnebeliggenhed omskriver adresser, GeoDanmark vejmidter eller er konstrueret","vejnavnebeliggenhed omskriver adresser, GeoDanmark vejmidter eller er konstrueret","Kan forekomme for historiske Navngivenvej - også for ikke historiske navngivne veje.","2015-10-01",""
