kode,navn,definition,kommentar,virkningFra,virkningTil
"AjourføreAdgangspunkt","Grunddataregister (Matriklen)","adgangspunkter ajourført via matriklen","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreAdresserEnheder","Grunddataregister (BBR)","adresser oprettet i BBR","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreBBRTilknytning","Grunddataregister (BBR)","tilknytning til BBR ajourført","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreByOgVej","Adressemyndighed med fokus på veje og byer","ajourført via DAGI","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreDagiTilknytning","Grunddataregister (DAGI)","ajourført af Adressemyndigheden i DAR","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreDarSystem","Adressemyndigheden","ikke i brug","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreDialog","Borger eller virksomhed (Brugeraktør)","ikke i brug","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreFejlmelding","Eksternt indberetningssystem","ajourført via Gadepostnummerklienten","Ikke aktuel, som følge af DAGI 3.0. Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreGadepostnummer","Gadepostnummerklient","ajourført via GeoDK","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreGeoDKTilknytning","Grunddataregister (GeoDK)","tilknytning til matriklen ajourført","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreMuTilknytning","Grunddataregister (Matriklen)","retskrivning godtkendt af dataansvarlig myndighed","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreRetskrivningskontrol","Retskrivningkontrollør for vejnavne","DAR korrektion","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"DAR korrektion","DAR korrektion","transition i fbm DAR1.0","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"DARTransition","Transition i fbm DAR1.0","konverteret i fbm DAR1.0","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"Konvertering2017","Konvertering2017","konverteret i fbm DAR1.0","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"Konvertering2017SDFE","Konverteret i fbm DAR1.0","adgangspunkter ajourført via matriklen","Ved korrektion, vil der makeres med korrektion efter virkningsaktøren.","2015-10-01",""
"AjourføreByOgVej","Adressemyndighed med fokus på veje og byer","ikke i brug","","2015-10-01",""
